Type,Model,Parameters,Accuracy,Precision,Fit Time,Predict Time
doc type,MultinomialNB,"{'model__alpha': 0.0, 'model__fit_prior': True}",0.653790644367094,0.5160664949709047,0.05300116539001465,0.006001949310302734
doc type,MultinomialNB,"{'model__alpha': 0.0, 'model__fit_prior': False}",0.6160115459716444,0.45682011597211325,0.04600048065185547,0.004997730255126953
doc type,MultinomialNB,"{'model__alpha': 0.1, 'model__fit_prior': True}",0.6767976908056711,0.5441191014353084,0.04203009605407715,0.005995273590087891
doc type,MultinomialNB,"{'model__alpha': 0.1, 'model__fit_prior': False}",0.6674590372697173,0.4915816370689947,0.039999961853027344,0.0060269832611083984
doc type,MultinomialNB,"{'model__alpha': 0.2, 'model__fit_prior': True}",0.6703455301808303,0.5655645469709178,0.0410003662109375,0.005999088287353516
doc type,MultinomialNB,"{'model__alpha': 0.2, 'model__fit_prior': False}",0.6765430002546905,0.515089874260068,0.040001630783081055,0.00500035285949707
doc type,MultinomialNB,"{'model__alpha': 0.30000000000000004, 'model__fit_prior': True}",0.6631292979030478,0.4607333262994604,0.04103684425354004,0.005997419357299805
doc type,MultinomialNB,"{'model__alpha': 0.30000000000000004, 'model__fit_prior': False}",0.677391968757959,0.5231647093361377,0.04003143310546875,0.005982398986816406
doc type,MultinomialNB,"{'model__alpha': 0.4, 'model__fit_prior': True}",0.6576110026318024,0.4214085926139467,0.03802990913391113,0.006006479263305664
doc type,MultinomialNB,"{'model__alpha': 0.4, 'model__fit_prior': False}",0.6778164530095934,0.5335332823912117,0.04002952575683594,0.006000041961669922
doc type,MultinomialNB,"{'model__alpha': 0.5, 'model__fit_prior': True}",0.6536208506664403,0.4254480491093165,0.0410008430480957,0.005998849868774414
doc type,MultinomialNB,"{'model__alpha': 0.5, 'model__fit_prior': False}",0.6758638254520757,0.538118722514993,0.039031982421875,0.004965782165527344
doc type,MultinomialNB,"{'model__alpha': 0.6000000000000001, 'model__fit_prior': True}",0.6486968333474828,0.41898997114041603,0.04097270965576172,0.006001949310302734
doc type,MultinomialNB,"{'model__alpha': 0.6000000000000001, 'model__fit_prior': False}",0.6757789286017489,0.5382292724609483,0.039962053298950195,0.006030559539794922
doc type,MultinomialNB,"{'model__alpha': 0.7000000000000001, 'model__fit_prior': True}",0.6447915782324476,0.4037661259708978,0.03999972343444824,0.005000114440917969
doc type,MultinomialNB,"{'model__alpha': 0.7000000000000001, 'model__fit_prior': False}",0.6744205789965192,0.5415956535601893,0.04101061820983887,0.005999565124511719
doc type,MultinomialNB,"{'model__alpha': 0.8, 'model__fit_prior': True}",0.6414806010697003,0.4144295675813437,0.041029930114746094,0.00497126579284668
doc type,MultinomialNB,"{'model__alpha': 0.8, 'model__fit_prior': False}",0.6714491892350793,0.5357852583177695,0.040030717849731445,0.00597071647644043
doc type,MultinomialNB,"{'model__alpha': 0.9, 'model__fit_prior': True}",0.6373206554036845,0.39920988675905245,0.04103994369506836,0.004994869232177734
doc type,MultinomialNB,"{'model__alpha': 0.9, 'model__fit_prior': False}",0.6695814585278886,0.5302636445239255,0.041025638580322266,0.005976200103759766
doc type,MultinomialNB,"{'model__alpha': 1.0, 'model__fit_prior': True}",0.6344341624925716,0.40836749321918603,0.04697251319885254,0.006000518798828125
doc type,MultinomialNB,"{'model__alpha': 1.0, 'model__fit_prior': False}",0.6672043467187367,0.5308961314902169,0.042342424392700195,0.0061533451080322266
doc type,LinearSVC,"{'model__C': 0.0001, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.5579421003480771,0.3860036463472517,0.8116466999053955,0.0040013790130615234
